Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,BANKNIFTY,35528,OPTIDX,PE,46400,BANKNIFTY,BANKNIFTY 5th JUN 46400 PE,BANKNIFTY05JUN24P46400,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35529,OPTIDX,CE,46500,BANKNIFTY,BANKNIFTY 5th JUN 46500 CE,BANKNIFTY05JUN24C46500,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35530,OPTIDX,PE,46500,BANKNIFTY,BANKNIFTY 5th JUN 46500 PE,BANKNIFTY05JUN24P46500,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35531,OPTIDX,CE,46600,BANKNIFTY,BANKNIFTY 5th JUN 46600 CE,BANKNIFTY05JUN24C46600,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35532,OPTIDX,PE,46600,BANKNIFTY,BANKNIFTY 5th JUN 46600 PE,BANKNIFTY05JUN24P46600,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35533,OPTIDX,CE,46700,BANKNIFTY,BANKNIFTY 5th JUN 46700 CE,BANKNIFTY05JUN24C46700,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35534,OPTIDX,PE,46700,BANKNIFTY,BANKNIFTY 5th JUN 46700 PE,BANKNIFTY05JUN24P46700,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35543,OPTIDX,CE,46800,BANKNIFTY,BANKNIFTY 5th JUN 46800 CE,BANKNIFTY05JUN24C46800,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35546,OPTIDX,PE,46800,BANKNIFTY,BANKNIFTY 5th JUN 46800 PE,BANKNIFTY05JUN24P46800,2024-06-05,15,0.05
NFO,nse_fo,BANKNIFTY,35547,OPTIDX,CE,46900,BANKNIFTY,BANKNIFTY 5th JUN 46900 CE,BANKNIFTY05JUN24C46900,2024-06-05,15,0.05
